STATE/UT,CRIME HEAD,Cases Pending Investigation from Previous Year,Cases reported during the year,No. of cases withdrawn by the Govt. during investigation,Cases not investigated or in which investigation was refused,Cases declared false on account of mistake of fact or of law,Cases in which chargesheets were laid,Cases in which charge-sheets were not laid but final report submitted during the year,Total cases (Chargesheeted + Final Report submitted),Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,No. of cases withdrawn by the Govt.,Total cases for trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases convicted,Cases acquitted or discharged,Cases pending trial at the end of the year
BIHAR,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),2,37,0,0,1,33,3,36,2,55,33,0,88,5,22,0,22,61
CHHATTISGARH,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),11,162,0,0,1,156,3,159,13,601,156,0,757,81,83,28,55,593
GOA,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),11,16,0,0,0,6,3,9,18,31,6,0,37,1,4,1,3,32
GUJARAT,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),10,93,0,0,0,92,2,94,9,934,92,0,1026,2,80,16,64,944
HARYANA,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),46,434,0,0,16,417,16,433,31,899,417,0,1316,0,456,274,182,860
HIMACHAL PRADESH,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),20,68,0,0,6,52,6,58,24,200,52,0,252,7,12,1,11,233
JAMMU & KASHMIR,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),63,347,0,0,13,330,1,331,66,1382,330,0,1712,5,305,98,207,1402
JHARKHAND,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),48,10,0,0,0,20,1,21,37,20,20,0,40,0,12,5,7,28
KARNATAKA,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),130,100,0,0,9,150,2,152,69,72,150,0,222,1,108,1,107,113
KERALA,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),92,498,0,0,16,469,14,483,91,1265,469,0,1734,14,235,83,152,1485
MADHYA PRADESH,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),16,774,0,0,1,772,6,778,11,1701,772,2,2471,166,459,160,299,1846
MAHARASHTRA,INSULT TO MODESTY OF WOMEN (SECTION 509 IPC),502,1294,0,0,7,1044,27,1071,718,8436,1044,0,9480,264,543,30,513,8673
